Product,Age,RTO State/UT,RTO City/Location,Alto,Alto K10,A-Star,BALENO D,BALENO P,Celerio D,Celerio P,CIAZ D,CIAZ P,Dzire D,Dzire P,Eeco/Versa D,Eeco/Versa P,Ertiga D,Ertiga P,Esteem D,Esteem P,Grand Vitara,Gypsy,IGNIS D,IGNIS P,Kizashi,Old Baleno,Omni,RITZ D,RITZ P,S-CROSS D,S-CROSS P,S-PRESSO,SUPER CARRY D,SUPER CARRY P,SWIFT D,SWIFT P,SX4 D,SX4 P,VITARA BREZZA D,VITARA BREZZA P,Wagon R,XL6,Zen,Zen D,,Model,Check,Check,RTO State/UT,RTO City/Location
PVT,0,GUJARAT,AHMEDABAD,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,IGNIS P,TRUE,TRUE,GUJARAT,AHMEDABAD
PVT,0,,GANDHINAGAR,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,Kizashi,TRUE,TRUE,,GANDHINAGAR
PVT,0,,MEHSANA,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,Old Baleno,TRUE,TRUE,,MEHSANA
PVT,0,,RAJKOT,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,Omni,TRUE,TRUE,,RAJKOT
PVT,0,,SURAT,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,RITZ D,TRUE,TRUE,,SURAT
PVT,0,,VADODARA,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,RITZ P,TRUE,TRUE,,VADODARA
PVT,0,,VALSAD,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,S-CROSS D,TRUE,TRUE,,VALSAD
PVT,0,,Rest of GUJARAT,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,S-CROSS P,TRUE,TRUE,,Rest of GUJARAT
PVT,0,HARYANA,AMBALA,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,S-PRESSO,TRUE,TRUE,HARYANA,AMBALA
PVT,0,,FARIDABAD,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,SUPER CARRY D,TRUE,TRUE,,FARIDABAD
PVT,0,,GURGAON,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,SUPER CARRY P,TRUE,TRUE,,GURGAON
PVT,0,,KARNAL,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,SWIFT D,TRUE,TRUE,,KARNAL
PVT,0,,PANIPAT,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,SWIFT P,TRUE,TRUE,,PANIPAT
PVT,0,,REWARI,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,SX4 D,TRUE,TRUE,,REWARI
PVT,0,,ROHTAK,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,SX4 P,TRUE,TRUE,,ROHTAK
PVT,0,,SONEPAT,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,VITARA BREZZA D,TRUE,TRUE,,SONEPAT
PVT,0,,Rest of HARYANA,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,VITARA BREZZA P,TRUE,TRUE,,Rest of HARYANA
PVT,0,HIMACHAL PRADESH,MANDI,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,Wagon R,TRUE,TRUE,HIMACHAL PRADESH,MANDI
PVT,0,,SHIMLA,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,XL6,TRUE,TRUE,,SHIMLA
PVT,0,,Rest of HIMACHAL PRADESH,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,Zen,TRUE,TRUE,,Rest of HIMACHAL PRADESH
PVT,0,JAMMU & KASHMIR,JAMMU,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,Zen D,TRUE,TRUE,JAMMU & KASHMIR,JAMMU
PVT,0,,SRINAGAR,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,SRINAGAR
PVT,0,,Rest of JAMMU & KASHMIR,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,Rest of JAMMU & KASHMIR
PVT,0,JHARKHAND,DHANBAD,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,JHARKHAND,DHANBAD
PVT,0,,JAMSHEDPUR,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,JAMSHEDPUR
PVT,0,,RANCHI,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,RANCHI
PVT,0,,Rest of JHARKHAND,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,Rest of JHARKHAND
PVT,0,KARNATAKA,BENGALURU,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,KARNATAKA,BENGALURU
PVT,0,,HUBLI,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,HUBLI
PVT,0,,MANGALORE,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,MANGALORE
PVT,0,,MYSORE,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,MYSORE
PVT,0,,SHIMOGA,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,SHIMOGA
PVT,0,,Rest of KARNATAKA,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,Rest of KARNATAKA
PVT,0,KERALA,ERNAKULAM,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,KERALA,ERNAKULAM
PVT,0,,KASARAGOD,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,KASARAGOD
PVT,0,,KOLLAM,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,KOLLAM
PVT,0,,KOTTAYAM,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,KOTTAYAM
PVT,0,,KOZHIKODE,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,KOZHIKODE
PVT,0,,MALAPPURAM,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,MALAPPURAM
PVT,0,,MUVATTUPUZHA,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,MUVATTUPUZHA
PVT,0,,PALAKKAD,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,PALAKKAD
PVT,0,,PERINTHALMANNA,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,PERINTHALMANNA
PVT,0,,THALASSERY,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,THALASSERY
